normalized_string,normalized_translation_value, ,translation_memory_uuid,string_id,source_language,destination_language,webpage_id,request_url,website_id,date_inserted
Womens Hub - Unisync Group,Hub pour femmes — Unisync Group,5,40e8b0fa-e368-11e2-bd1c-123138171cec,536,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Logout,Fin de session,1,40e8b0fa-e368-11e2-bd1c-123138171cec,1,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
|,|,0,40e8b0fa-e368-11e2-bd1c-123138171cec,2,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
My Account,Mon compte,2,40e8b0fa-e368-11e2-bd1c-123138171cec,3,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Checkout,Passer à la caisse,1,40e8b0fa-e368-11e2-bd1c-123138171cec,4,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Contact,Contact,1,40e8b0fa-e368-11e2-bd1c-123138171cec,5,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Home,Accueil,1,40e8b0fa-e368-11e2-bd1c-123138171cec,6,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
View Preferred Group Products,Vue des produits de groupe de premier choix,4,40e8b0fa-e368-11e2-bd1c-123138171cec,412,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Email Us,Envoyez-nous un courriel,2,40e8b0fa-e368-11e2-bd1c-123138171cec,7,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
"Preferred Customer <g id=""1""></g>","Client priviligié <g id=""1""></g>",5,40e8b0fa-e368-11e2-bd1c-123138171cec,335,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
