normalized_string,normalized_translation_value,num_words,translation_memory_uuid,string_id,source_language,destination_language,webpage_id,request_url,website_id,date_inserted
"<g id=""1"">Color:</g> Navy","<g id=""1"">Coleur:</g> bleu2",5,b6a02916-e342-11e2-94cc-216390aaa027,49,en,fr,,,Web Lite Solutions,Wed Jul  3 00:08:16 2013
Unisync Group | Unisex Navy 5 in 1 Jacket | Womens Hub | Unisync Group | 5910,,10,b6a02916-e342-11e2-94cc-216390aaa027,50,en,fr,,,Web Lite Solutions,Wed Jul  3 00:08:16 2013
"&#13; Navy&#13; <g id=""1""> &#13; <g id=""2""><g id=""3"">Navy</g></g><x id=""4""/><x id=""5""/></g> &#13;",,15,b6a02916-e342-11e2-94cc-216390aaa027,51,en,fr,,,Web Lite Solutions,Wed Jul  3 00:08:16 2013
Unisync Group | Unisex Navy Cargo Short | Shorts | Unisync Group | 1599,,9,b6a02916-e342-11e2-94cc-216390aaa027,52,en,fr,,,Web Lite Solutions,Wed Jul  3 00:08:16 2013
Unisync Group | Unisex Navy Cargo Pant | | Unisync Group | 1593,,8,b6a02916-e342-11e2-94cc-216390aaa027,53,en,fr,,,Web Lite Solutions,Wed Jul  3 00:08:16 2013
Unisync Group | Unisex Navy Cargo Pant | Mens Courier | Unisync Group | 1593,,10,b6a02916-e342-11e2-94cc-216390aaa027,54,en,fr,,,Web Lite Solutions,Wed Jul  3 00:08:16 2013
Unisex Navy Insulated Vest,,4,b6a02916-e342-11e2-94cc-216390aaa027,55,en,fr,,,Web Lite Solutions,Wed Jul  3 00:08:16 2013
PDF OCR X,,3,b6a02916-e342-11e2-94cc-216390aaa027,15,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
Getting Started,,2,b6a02916-e342-11e2-94cc-216390aaa027,16,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"<g id=""1"">Getting Started</g> | <g id=""2"">Language Packs </g> | <g id=""3"">Support</g>",,14,b6a02916-e342-11e2-94cc-216390aaa027,17,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
Simple drag-and-drop utility for Mac OS X and Windows,,9,b6a02916-e342-11e2-94cc-216390aaa027,18,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"Supports over <v id=""1"">20</v> languages.. <g id=""2""> Learn More...</g>",,11,b6a02916-e342-11e2-94cc-216390aaa027,19,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"Also works with images such as GIF, JPEG, TIF, BMP, PSD, PNG, and more...",,14,b6a02916-e342-11e2-94cc-216390aaa027,20,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"Converts to text or searchable PDF <g id=""1"">(New in version <v id=""2"">1.9</v>)</g>",,15,b6a02916-e342-11e2-94cc-216390aaa027,21,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
Convert Scanned and Image PDFs into Text Documents,,8,b6a02916-e342-11e2-94cc-216390aaa027,22,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"PDF OCR is a simple drag-and-drop utility for Mac OS X and Windows, that converts your PDFs and images into text documents or searchable PDF files. It uses advanced OCR (optical character recognition) technology to extract the text of the PDF even if that text is contained in an image. This is particularly useful for dealing with PDFs that were created via a Scan-to-PDF function in a scanner or photo copier.&#13;",,71,b6a02916-e342-11e2-94cc-216390aaa027,23,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
Requirements,,1,b6a02916-e342-11e2-94cc-216390aaa027,24,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"Intel Mac running Mac OS X <v id=""1"">10.5</v> or higher. (Mountain Lion requires version <v id=""2"">1.9.27</v> or higher)",,20,b6a02916-e342-11e2-94cc-216390aaa027,25,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"Windows XP/Vista/ <v id=""1"">7</v> with Java <v id=""2"">1.6</v> or higher installed.",,14,b6a02916-e342-11e2-94cc-216390aaa027,26,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
Community Version,,2,b6a02916-e342-11e2-94cc-216390aaa027,27,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
Limited to single-page images and PDFs,,6,b6a02916-e342-11e2-94cc-216390aaa027,28,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"<v id=""1"">1.9.36</v> for Mac OS X",,7,b6a02916-e342-11e2-94cc-216390aaa027,29,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"<v id=""1"">1.9.32</v> for Windows",,5,b6a02916-e342-11e2-94cc-216390aaa027,30,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
Enterprise Version,,2,b6a02916-e342-11e2-94cc-216390aaa027,31,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
&#13; &#13; No limit on the size of the PDF&#13;,,8,b6a02916-e342-11e2-94cc-216390aaa027,32,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
»,,0,b6a02916-e342-11e2-94cc-216390aaa027,33,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
Drag the PDF that you want to convert onto PDF OCR X.,,12,b6a02916-e342-11e2-94cc-216390aaa027,34,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"Select your conversion settings (e.g. language, output format, etc...)",,10,b6a02916-e342-11e2-94cc-216390aaa027,35,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
PDF OCR X converts your document to text or searchable PDF.,,11,b6a02916-e342-11e2-94cc-216390aaa027,36,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
Download PDF OCR and place it in your Applications folder.,,10,b6a02916-e342-11e2-94cc-216390aaa027,37,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
Drag the PDF OCR icon down to your dock so that you can easily access it.,,16,b6a02916-e342-11e2-94cc-216390aaa027,38,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
Now you can drag your PDFs onto the PDF OCR icon on your dock to have it converted to text.,,20,b6a02916-e342-11e2-94cc-216390aaa027,39,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"Works with any PDF, whether it is a scanned PDF, or a PDF generated from a document.",,17,b6a02916-e342-11e2-94cc-216390aaa027,40,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
Easy drag and drop interface.,,5,b6a02916-e342-11e2-94cc-216390aaa027,41,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"Support for multi-column documents and advanced formatting ( <g id=""1"">New in version <v id=""2"">1.3</v>) </g>",,16,b6a02916-e342-11e2-94cc-216390aaa027,42,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
Disclaimer,,1,b6a02916-e342-11e2-94cc-216390aaa027,43,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"PDF OCR uses OCR (optical character recognition) to convert images of text into text. While the technology is quite good at deciphering legible text, there are limitations and some text may not be extracted correctly.",,35,b6a02916-e342-11e2-94cc-216390aaa027,44,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"Copyright © <v id=""1"">2010</v> Web Lite Solutions. All Rights Reserved.",,10,b6a02916-e342-11e2-94cc-216390aaa027,45,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"PDF OCR,PDF to Text,Drag and Drop PDF to Text,Tesseract OS X,Mac Tesseract,Mac OCR, OS X OCR,Optical Character Recognition, Windows OCR",,26,b6a02916-e342-11e2-94cc-216390aaa027,46,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
"PDF OCR is a simple drag-and-drop utility for Mac OS X, that converts your PDFs and images into text documents.",,20,b6a02916-e342-11e2-94cc-216390aaa027,47,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:31 2013
PDF OCR X - Mac &amp; Windows OCR Software to convert PDFs and Images to Text,,15,b6a02916-e342-11e2-94cc-216390aaa027,14,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./pdfocrx/,Web Lite Solutions,Thu Jun 27 20:45:30 2013
Translation,,1,b6a02916-e342-11e2-94cc-216390aaa027,5,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./,Web Lite Solutions,Thu Jun 27 20:45:24 2013
Home,HomeFrench,1,b6a02916-e342-11e2-94cc-216390aaa027,6,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./,Web Lite Solutions,Thu Jun 27 20:45:24 2013
Products,,1,b6a02916-e342-11e2-94cc-216390aaa027,7,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./,Web Lite Solutions,Thu Jun 27 20:45:24 2013
Services,,1,b6a02916-e342-11e2-94cc-216390aaa027,8,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./,Web Lite Solutions,Thu Jun 27 20:45:24 2013
Contact Us,,2,b6a02916-e342-11e2-94cc-216390aaa027,9,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./,Web Lite Solutions,Thu Jun 27 20:45:24 2013
"Quality, Affordable, Web-based Software Solutions",,5,b6a02916-e342-11e2-94cc-216390aaa027,10,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./,Web Lite Solutions,Thu Jun 27 20:45:24 2013
"Web Lite Solutions Corp. provides simple, robust, software solutions to organizations and small businesses. Our suite of open source frameworks and applications allow us to pass on unprecedented productivity to the client.",,32,b6a02916-e342-11e2-94cc-216390aaa027,11,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./,Web Lite Solutions,Thu Jun 27 20:45:24 2013
Preferred Open Source Technologies:,,4,b6a02916-e342-11e2-94cc-216390aaa027,12,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./,Web Lite Solutions,Thu Jun 27 20:45:24 2013
"Copyright © <v id=""1"">2010</v> Web Lite Solutions Corp., All rights reserved.","FrenchWrited © <v id=""1""></v> Solutions Weblite Corp., Toutes Droits resérvé",11,b6a02916-e342-11e2-94cc-216390aaa027,13,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./,Web Lite Solutions,Thu Jun 27 20:45:24 2013
Web Lite Solutions Corp.,Solutions de Lite Web.,4,b6a02916-e342-11e2-94cc-216390aaa027,1,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./,Web Lite Solutions,Thu Jun 27 20:45:23 2013
Site Network:,Network de Site:,2,b6a02916-e342-11e2-94cc-216390aaa027,2,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./,Web Lite Solutions,Thu Jun 27 20:45:23 2013
Corporate,CorporateFrench,1,b6a02916-e342-11e2-94cc-216390aaa027,3,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./,Web Lite Solutions,Thu Jun 27 20:45:23 2013
Solutions,,1,b6a02916-e342-11e2-94cc-216390aaa027,4,en,fr,,http://localhost/swete-server-0.3.x/solutions-french./,Web Lite Solutions,Thu Jun 27 20:45:23 2013
